City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,stanthorpe,-28.6667,151.95,19.12,91,27,4.2,AU,1708165006
265,bulgan,48.8125,103.5347,-21.42,90,97,2.46,MN,1708165007
266,cabo san lucas,22.8909,-109.9124,19.86,61,0,1.34,MX,1708164963
267,bereznik,62.8551,42.7072,-11.39,92,100,7.23,RU,1708165008
268,naze,28.3667,129.4833,13.51,66,70,1.98,JP,1708165009
269,mascoutah,38.4903,-89.7932,-5.79,69,0,5.66,US,1708165009
270,gwio kura,12.6753,11.0682,27.1,15,82,6.31,NG,1708165010
271,carnarvon,-24.8667,113.6333,31.87,50,0,11.89,AU,1708165011
272,benguela,-12.5763,13.4055,29.65,69,100,3.12,AO,1708165012
273,egilsstadir,65.2653,-14.3948,-9.05,92,75,1.03,IS,1708165013
274,turinskaya sloboda,57.6232,64.3858,-14.37,76,92,2.14,RU,1708165013
275,rajpur,22.3,74.35,33.47,19,15,1.08,IN,1708165014
276,mejit,10.2753,170.8646,26.38,83,68,10.81,MH,1708165014
277,bandipura,34.4167,74.65,13.67,30,98,1.88,IN,1708165015
278,mossoro,-5.1875,-37.3442,26.9,75,49,2.8,BR,1708165016
279,callao,-12.0667,-77.15,25.95,83,75,2.06,PE,1708165016
280,oriximina,-1.7656,-55.8661,23.61,93,88,1.71,BR,1708165017
281,nemuro,43.3236,145.575,-4.2,77,100,2.65,JP,1708165017
282,chonchi,-42.6128,-73.8092,8.4,98,73,0.82,CL,1708165018
283,inhambane,-23.865,35.3833,32.79,52,0,4.53,MZ,1708165019
284,nar'yan-mar,67.6713,53.087,-17.16,94,74,8.94,RU,1708165019
285,tobol'sk,58.2,68.2667,-15.22,82,6,1.79,RU,1708164790
286,burang,30.25,81.1667,0.76,45,41,3.49,CN,1708165021
287,la punta,-33.1837,-66.3127,21.24,54,7,3.52,AR,1708165021
288,pemangkat,1.1667,108.9667,25.77,89,100,1.83,ID,1708165022
289,barcelos,41.5388,-8.6151,14.4,73,98,0.97,PT,1708165023
290,saint-pierre,-21.3393,55.4781,30.82,66,75,13.38,RE,1708165023
291,krasnovishersk,60.4078,57.082,-15.55,82,33,2.4,RU,1708165024
292,hadibu,12.65,54.0333,27.56,55,12,3.0,YE,1708165025
293,winburg,-28.518,27.0093,31.33,6,6,6.05,ZA,1708165025
294,fort st. john,56.2499,-120.8529,-3.06,36,0,5.66,CA,1708165026
295,tokar,18.4254,37.729,25.93,41,7,7.7,SD,1708165026
296,trogir,43.5125,16.2517,14.03,72,20,1.54,HR,1708165027
297,xiangtan,27.85,112.9,20.18,75,22,1.81,CN,1708165028
298,lawrenceville,33.9562,-83.988,11.77,82,100,7.72,US,1708165028
299,turkmenbasy,40.0222,52.9552,1.8,62,100,3.9,TM,1708164922
300,charcas,23.1333,-101.1167,9.39,91,100,3.69,MX,1708165030
301,arawa,-6.2132,155.5367,26.64,89,100,1.09,PG,1708165030
302,pisco,-13.7,-76.2167,23.34,83,100,3.6,PE,1708165031
303,gillette,44.2911,-105.5022,-14.49,78,0,4.63,US,1708165031
304,roma,43.2128,-75.4557,-3.36,92,100,2.57,US,1708165032
305,ubari,26.5921,12.7805,20.27,19,100,7.57,LY,1708165033
306,nouadhibou,20.931,-17.0347,20.99,68,0,8.75,MR,1708165034
307,dampit,-8.2116,112.7493,25.79,82,90,1.71,ID,1708165035
308,ha'il,27.5219,41.6907,17.01,31,0,3.09,SA,1708165035
309,la souterraine,46.2371,1.487,9.17,78,1,2.0,FR,1708165036
310,yeppoon,-23.1333,150.7333,26.88,76,84,8.24,AU,1708165037
311,capim grosso,-11.3811,-40.0128,23.84,81,31,1.89,BR,1708165037
312,tubarjal,30.4999,38.216,16.13,33,3,7.14,SA,1708165038
313,cooper's town,26.8667,-77.5167,22.88,84,100,8.04,BS,1708165040
314,el fasher,13.6279,25.3494,26.49,14,78,4.9,SD,1708165041
315,kuanda,56.3161,116.0806,-23.85,87,90,1.73,RU,1708165041
316,serhiyivka,46.0272,30.3768,3.37,68,11,4.35,UA,1708165042
317,las tablas,7.7667,-80.2833,25.65,99,95,3.03,PA,1708165042
318,venado,22.9333,-101.0833,11.33,86,100,3.08,MX,1708165043
319,krasnokamsk,58.0802,55.7541,-14.91,83,76,2.38,RU,1708165044
320,lihue,21.9789,-159.3672,20.58,64,20,4.63,US,1708165044
321,antalaha,-14.9003,50.2788,30.09,69,93,4.73,MG,1708165038
322,horta,38.5333,-28.6333,16.8,91,20,5.14,PT,1708165046
323,kapuskasing,49.4169,-82.4331,-29.95,76,0,1.03,CA,1708165046
324,machalpur,24.1333,76.3,30.82,20,0,3.79,IN,1708165047
325,as sulayyil,20.4607,45.5779,31.14,21,57,4.44,SA,1708165047
326,kerikeri,-35.2268,173.9474,18.28,88,100,0.61,NZ,1708165048
327,alofi,-19.0595,-169.9187,25.94,83,75,4.63,NU,1708165049
328,kuching,1.55,110.3333,29.45,73,40,3.09,MY,1708165049
329,kristiansund,63.1115,7.732,2.36,69,75,1.54,NO,1708165050
330,midvagur,62.0511,-7.1939,4.46,81,100,8.75,FO,1708165051
331,christchurch,-43.5333,172.6333,16.06,81,75,0.51,NZ,1708164986
332,puerto la cruz,10.2167,-64.6167,24.16,75,95,1.21,VE,1708165052
333,merta,26.65,74.0333,29.18,10,0,1.87,IN,1708165052
334,celestun,20.8667,-90.4,22.34,84,7,5.02,MX,1708165053
335,brindisi,40.5833,17.6667,16.36,54,4,0.21,IT,1708165054
336,polyarnyy,69.1989,33.4478,-4.45,88,100,2.38,RU,1708165054
337,eyl,7.9803,49.8164,29.64,50,41,7.79,SO,1708165055
338,valparaiso,-33.0393,-71.6273,11.8,93,0,0.0,CL,1708165055
339,khovd,48.0056,91.6419,-16.47,54,100,4.86,MN,1708165056
340,brandon,27.9378,-82.2859,18.26,91,100,1.54,US,1708165057
341,malango,-2.9627,119.9001,21.89,97,100,0.81,ID,1708165059
342,jincheng,35.5022,112.8328,9.84,71,6,6.14,CN,1708165059
343,kuzovatovo,53.5468,47.6866,-10.72,81,100,4.31,RU,1708165060
344,visby,57.6409,18.296,2.12,87,75,7.2,SE,1708165060
345,san benito abad,8.929,-75.0271,26.0,90,100,2.01,CO,1708165061
346,novodvinsk,64.4165,40.8122,-11.23,89,100,7.49,RU,1708165062
347,binkolo,8.9533,-11.9779,30.01,59,84,0.88,SL,1708165062
348,tomakomai,42.6369,141.6033,-1.02,74,40,1.54,JP,1708165063
349,santa cruz,-17.8,-63.1667,25.03,94,40,5.66,BO,1708165063
350,besni,37.6928,37.8611,10.65,63,73,1.18,TR,1708164974
351,minab,27.1467,57.0801,26.68,52,90,4.99,IR,1708165065
352,lalmonirhat,25.9124,89.4473,28.6,22,0,4.0,BD,1708165065
353,richards bay,-28.783,32.0377,25.47,84,99,4.43,ZA,1708165066
354,muzaffarnagar,29.4667,77.6833,27.54,9,92,4.78,IN,1708165066
355,brunswick,41.2381,-81.8418,-3.71,90,100,2.06,US,1708165067
356,bubaque,11.2833,-15.8333,25.78,78,10,2.7,GW,1708165068
357,posto fiscal rolim de moura,-13.0833,-62.2667,23.55,89,61,0.97,BR,1708165068
358,yenicaga,40.7711,32.0337,2.62,99,100,1.44,TR,1708165069
